wallet_address,malicious,bitcoin_spent,bitcoin_received,total_balance,total_transactions
12RRXLNnoVPP6sAzaqiqJSUFffPYipZ6Du,False,0,1028404,1028404,1
12ZaxDgRNJwuHfChTXxA2Cx3oTo1MH2JWh,False,0,1174388,1174388,1
114MMbTyLTxB8HxXh3hHyeUg66gVtiwAVf,False,0,57876,57876,1
12eKMXuMGJHA3cE14mjS4jbQEmpHRhfFTn,False,0,48382,48382,3
12M98e6oy5AzCwWqfBCAZfCdAhsm9szeaa,False,0,100000,100000,1
115WEPiWeNdg2fWq5Sh1SkaxatramHn8Du,False,0,682344,682344,1
12ZR9QbQjm3AM5SuavSBxzAes63LVskk2a,False,0,1084263,1084263,1
12qzcw7nJ42oyUcAX9DjULBS73A6GZXTw4,False,0,2598,2598,1
12BAzWvS117Sw38jcbXoMFQs9oDAZr7jdZ,False,0,3024,3024,1
12FHXv2RRDmGU4KBv7mnVEnBwy9iDKH24T,False,0,404490,404490,15
12P9DiS5XxXPSCt6B8txrdsjn8GT2YKGVH,False,0,2063,2063,1
129dfJtLg7ZpLxKa2yLDVmP876DH8QSrzG,False,0,2880,2880,1
126gyfRxg55FXjR2SkYSmVPpj4S9Ncmsz1,False,0,2594871,2594871,1
12RaGJa2jg36kwwGPVHgmKaYk5wL4UL8nF,False,0,3569,3569,1
12aYqdctFf3LHGKwiVwf4GAzCbLAP4RZDt,False,0,167464,167464,1
1128aNhnRGWSJjveYSzuGXyDvwYbdcmqtE,False,0,546,546,1
12qPx8b83p5mYxGwK9RAA46egjfRhTztnF,False,618634,3684280,3065646,6
112CVcYBsrYieh3U7cLbdVu8NCWTnkLoj4,False,0,620837,620837,1
12DJZiaES2KL5toyHciwcteizDnsNoCje3,False,0,2500,2500,1
12q6SzsnBnZC3ncQoK4TxwFXrhg6pUqnjv,False,0,250000,250000,1
12h9tMfdPNStnn7ACBQrygoyc4vPy2Mwmz,False,0,800000,800000,1
12ozo8bfPkjPoi6hHpT2GSSaKtXAbdZGFi,False,5244,500546,495302,3
12H6ZLPyYVKvinrhi4azTAosT2v969CiEh,False,0,1231569,1231569,45
12QNv5jaqiZC4ceyBh2yACobuV1WHdoNz7,False,0,1227151,1227151,1
11Fdeutd59ZEVs2f5QPyF8DqmMb3Vnoz6,False,493603,504489,10886,33
115fxSJeykrrKPiNLyb55qsBB9b5DVQ5XS,False,0,24280887,24280887,4
12fMBM12rQwM3dNbZxkHTdiRYqnZ2yJzbv,False,18009432,18093327,83895,11
1245ihw6ZzCctA168WKE2FtbJZLBqZ24cW,False,710895,1354120,643225,3
12bn8ZNzg8vMQkUhvTKhDiXwmi9PTDcXGQ,False,0,1000,1000,1
11XVW5SCtNhQzjaeAs2c1ZFU32HzS8LjS,False,0,10000000,10000000,1
12dqyqLCaRNyAvuLd79DW2MizCem97EVr9,False,0,4051253,4051253,1
12NQMbN1QNWNDsfnrcKVtNy6JGXjzrwnNC,False,0,228791,228791,1
