wallet_address,malicious,bitcoin_spent,bitcoin_received,total_balance,total_transactions
112gMjBQHtbSe9uojqVHeAAXbreyCB71Km,FALSE,0,5500,5500,1
113D6ogu2UQVJg12WbsiYYzQoM54UyZGaV,FALSE,0,34621,34621,3
112PYDET1Q3QBNDX1NMyYQec7fszsot66p,FALSE,0,105700000,105700000,1
113oqZSWvaVeJEKypyT8JVEotxjNFE4BC,FALSE,0,1442351,1442351,1
113ioUM4K5PZ88wUzUsfBYe1sdFAmTnWpq,FALSE,0,12511,12511,1
113yL4w5gMHYJaxMKjWtae66YpLCL4eJpj,FALSE,1070000,1070002,2,8
111Uo6RHtUexUa4qa7ZvMoaxMpgzpPUHd,FALSE,0,211380,211380,1
112sD2Ko7rHsKanNNtCU3xQZ9Cb39E2s2c,FALSE,0,45109,45109,1
112ouD3G3E8PfsSveUAnuU9vghHv5xMrgT,FALSE,546,1092,546,3
1117kRPrW9Pz9Sa35yCkb8w6HAKuyst3Y,FALSE,0,56283,56283,2
113qDvDaFTogZNiSb2dmoPeSGVsrNPDsYr,FALSE,0,54234,54234,1
1134nhbq4udy2JtUM2ifsYNjwTsTZjgRgv,FALSE,0,1018,1018,1
113AkDNvun3z9oPPrMz387jAYZiM3ebfAc,FALSE,143622,143622,0,2
112L73YojNTHDMH6fpXQ42Jj4Cp7ru4GMg,FALSE,0,1010723,1010723,1
112ZRpAKRetZiEQb1YqKgy9zavGRQiKPKN,FALSE,0,836374,836374,1
112h2xN1KTFFEgDCJiqKcb7zRiUL9jgjXg,FALSE,0,10600000,10600000,1
113Lnxq89VmJuQ1xPMycsXAAAEbetaxM9K,FALSE,0,1209,1209,1
112XJo76Hmnif2kAZaQVkpmq56MXnj6pUJ,FALSE,16748455,16762830,14375,3
112Z9PFhUnJqdPTeB293cHmaVv5aVDJBht,FALSE,0,35340,35340,1
1124aU9FMvJZxgVTVKhqkxBE1UkpVKvRJt,FALSE,0,12583842,12583842,1
113JvVaNUkWFUWpxe5bUJENjqENY5PMApK,FALSE,0,791,791,1
113uwwCZmWcDsLUk7AjBmM3wd5pLLcqzkb,FALSE,6000,12546,6546,4
112cYmZSnZvQqShJSeJHrHsR5jotijgrfn,FALSE,0,5500,5500,1
112pfqBv6AFJDMpxrhVRpZJ4Gj5SnMF36P,FALSE,0,100000,100000,1
113hvzsVp3KfdSxupZcH4TWabbtqHCiaKW,FALSE,0,3715236,3715236,1
1131CSKPKNygktRSjr7fLPmyH7sZw9jpUG,FALSE,10011,10011,0,2
113pcZAb8Je4sgTNog7ckM8d3qii1PxSTx,FALSE,0,666667300,666667300,3
1138KKd4Lyc8yjaer2YeoFWmmUDHqg2MDG,FALSE,104000,104920,920,15
113Mt5s3LpodJBY8Jfpj2bkRxKUu2CmbLC,FALSE,0,547232,547232,1
113bLBPMJmVyAEdxhj2jZB3jgPziVrFJv9,FALSE,0,30000,30000,1
113hXvAGiXHam3xXe2WaMZvDkttFaD2sse,FALSE,0,20000,20000,2
113QkBxmNyA33Efz3ePsQz9MfbuQsGM7CX,FALSE,0,1953,1953,1
113nn7g5Wpdd76RiVBYtt3X3NykPmcKYQt,FALSE,0,14589,14589,1
113HHDYUTUwHC8sZmBhH3by1zD2d7F5CAK,FALSE,0,3242,3242,1
113px1sUxoUGwg83E3BKirNrVnUAWFBANb,FALSE,0,742442,742442,1
113mmP2SYprvDPP2samypmxbWYLqowfdnb,FALSE,171156,228552,57396,3
112tW1AWw15RPUDcDpnu8TjVpWkU5mrBiM,FALSE,0,76230,76230,1
112KHDDH4Rhfem6MvQTJQfS8wtL1cfhq9u,FALSE,10280110,34271462,23991352,214
113w8MCbcAGXH7VdPBZ6S2k9ygwXRKYL39,FALSE,80000,81092,1092,6
11333u3DjE6RyFrsdPpcJVJjPzDQ5z1Rte,FALSE,0,9162,9162,1
113rzw1UdWzaKiptbW89Zc1w6amnJuybQQ,FALSE,0,748875,748875,1
112toLN751Jwmaw7x5xcX51fqrVJUwm27n,FALSE,0,14053,14053,2
112hk2VK1eyYMg4GczZ7g8CVCyw6RLgvJs,FALSE,0,656075,656075,1
111Gk2Yb7VgCTZ6sjfwWYzEsAcuoBhsG,FALSE,0,5480,5480,1
113vRyHQrWYe8XWyxxo6Pqg9CrVnq24sPy,FALSE,12549833,12645672,95839,15
112hCkj9YzuS9nvDXYgpg9ZMMh75S65PyC,FALSE,0,938337,938337,1
113VkmTPanHBd1RFXRFbRsouySL1DM2Xai,FALSE,0,10,10,1
112wawqimhpsaERHw5ybj2EyH8woFADSYA,FALSE,328506768,328506768,0,161
112vyLzYUZS98AXMzVrwLguaKi4Qp4ufUk,FALSE,0,36491,36491,1
113ACv7caEvxa7d74K48BDn4PhmxSiWTK8,FALSE,0,940000,940000,1
112zDjimve7D2wMCH6mggxTNrX3tNmPFwB,FALSE,0,1000,1000,1
1139DYP3TMC4ysenLyoKH5ufUSLFM5E9is,FALSE,0,5430,5430,1
1127KRag2R5D2c6PvbQeA6LxNYmf4yDZtQ,FALSE,0,438824,438824,1
113jPFf3prcdTuJ9m2NdzuNzMgahiBvAuo,FALSE,0,50000,50000,1
113SMEpio6kCNTF1pc7WKk99tdAYXnsVhh,FALSE,0,16380,16380,1
112HJL7U6va5K4CPgY85Ashb7bDEqaEEgd,FALSE,97995500,98000000,4500,5
112Xv7u92AiJnz32r8T5iHXzpxLg9zeuwy,FALSE,546,1092,546,3
1123FoHVCxBLwRABNaNDVrFHDNYGNL75Tu,FALSE,0,85740000,85740000,1
1125GfHrNeN3G4G6bCtFAWwg26FsNmtqoU,FALSE,0,407570,407570,1
113QULJXJiA7a3jZi2G3zkS5XtcT6UbQNh,FALSE,20085077,22631977,2546900,11
112EAoA58eBK8dU76CeRJ7WZXABFXXA6SS,FALSE,0,10829,10829,1
113oUrbRFhrkdyrAjnaV9a4SK15QVn3eZb,FALSE,3276,7644,4368,20
111HEfsidBu3nTisf64mgArDUCFUYXJTZ,FALSE,2000000,2067129,67129,3
112a7eU7FGhRdpZ7RXJ9THR777ZJwxoshU,FALSE,0,402172841,402172841,3
1139Urcv5iVmwDHiAnoNJr27cGjEDdpEma,FALSE,0,50000,50000,1
1131thK6pddrRwSvwBF5U3xKAZJhvhjuQ2,FALSE,0,1000,1000,1
112Zu4x6mZHsG8rDqh7LZ3VayimxVdsLnJ,FALSE,358486901,374143101,15656200,37
113HWDJVpuEBjUeLd2Zt1EgaazwUQYjuFx,FALSE,0,169844,169844,1
112wYUyiWH1Hq8P15VasY7RMbgaiZVGzqF,FALSE,24679,24679,0,2
113CHHmcDZzYz3M4RxPNJTHYmTQmVCriaz,FALSE,285755,291842,6087,8
113oCxn8diBZBPGjcr6BCLuBapLvQTaef2,FALSE,0,693000,693000,1
113MYsfn2T9f9EChYPEtianM7ThytZWpAJ,FALSE,0,270122,270122,1
112WKDxinoGx363YGDp8Pv3Vnazto2WfSt,FALSE,860000,900000,40000,2
1139x6Demhj9zYikk3RMg3Gg1tUZyFDJss,FALSE,0,33619,33619,5
112t7cQGjteaZp5v4LiDpEZ8VM9HJhoR1d,FALSE,0,1052792,1052792,1
113fCxkH1noE2Krzk7zu7mqsFeLjgDUnzy,FALSE,57120000,57120000,0,7
112p4NAmwNYNDMV7RxqESNZKThQiMyniVR,FALSE,0,5798253,5798253,1
112EPWP3t3gAsfdqk5mC96zbXmziXjpvd2,FALSE,0,3807,3807,1
112MJYJdBNZEvcEzJ4r36umMARjZpbg98Y,FALSE,282704,296900,14196,5
113YBzn52QTSCNvCghV1Q8ND9viZRDY8bL,FALSE,0,51674606,51674606,1
113SmZgEefgtxQX4XyE49jArGzdTzuzJH9,FALSE,0,7089,7089,1
113NfkBpyqCR6CUpQwZTuau5gpzfubCQBt,FALSE,2164396,2164396,0,18
1136zBsaBcPZM54XgwbfUSVU3YMZii13nu,FALSE,0,902,902,1
113BoekcQS1PdQPVJ3wHc91Nvm5fj1qdAX,FALSE,0,190705,190705,1
1139mGXaTqx7KDEASoe9gRFCNF2xnqogtg,FALSE,0,29573,29573,1
112MA2csjyzyQ6ejYGWYq9gYA9rDLBChSL,FALSE,0,9140000,9140000,3
1126QP7Cvpcb3dn6kFVEuc36eNJDTbMXSV,FALSE,5855039820,5855039895,75,30
112XsRp5bDfCUBCo95vPTdtzQMg3wVH92P,FALSE,0,7353,7353,1
113BPigne7YqxkSVTjTyutVTWJuRds3zW,FALSE,0,1,1,1
112QSmEfPEBQvP5HYSbs53tgJ6YwbS5uPL,FALSE,1709953,1709954,1,3
1127qn6gF8LmuE98L6iEocMqUZRzbpxhjc,FALSE,0,5500,5500,1
113JKW9vzqdgXr5DRoKsrTng3KD6cZBPmy,FALSE,546,1092,546,2
112VVeabpngiaocs5rkG3Fjd7TYyPwqJzL,FALSE,2535,2535,0,2
113Ak5n8zBzmBQNkg1YecRQkNDEVgMdW4m,FALSE,113635168,117924252,4289084,35
113VyHkm53nufs9DgMrKHQcMSMxG3ywwMG,FALSE,0,91274,91274,1
112bPPyY9C8RvBqQV8KQq6azfjwQh5uKcZ,FALSE,724000,724000,0,2
113hbPaNfNBsmy42LSujiVJ4eXE1QfaFgw,FALSE,0,86178,86178,1
1131xHfKzJ6B5KzePtJBMfdd5ZqyAqPtVv,FALSE,14690245,15006487,316242,33
113EzVCtmVvDuNVFeJ7SXUjL8EAShL3mkb,FALSE,0,1000,1000,1
11314xXzo9qSpH5KqTKJ8UbpmFLUmp1fBF,FALSE,0,2500,2500,1
113vKpZonEHVxWDtZCzTWXZCpqcsxy6kNM,FALSE,0,10233,10233,1
112EpZmyp1iCB8PnBGQJFeifR1rhvW1PML,FALSE,0,546,546,1
112JmFaCpEyUB8FMY1vPEJxizRrq6aH2oJ,FALSE,0,2730,2730,1
112V5eMecpkwbznmBQPJEYLXRXy8guay7S,FALSE,24754,25301,547,3
113NKGPgbvyTRBbwvbood1DFebEmPhqB9x,FALSE,0,2500,2500,1
1127TuFtyYckUdJvxTaSrS9jnY38XaNWAm,FALSE,0,1764415,1764415,3
112X8zBaHFJRQqE6pu5DKntGePLhBhc7Tw,FALSE,0,20000,20000,1
112ojgXvBPpNQHQEHTayPGu4mSWQTNPvXL,FALSE,0,91044,91044,1
