wallet_address,malicious,malicious_type,bitcoin_spent,bitcoin_received,total_balance,total_transactions
1H9bS7Zb6LEANLkM8yiF8EsoGEtMEeLFvC,TRUE,4,543244008,543244008,0,53
1Bz4ud8oZ5TbmFeX8PuXVrffF1mDVv123B,TRUE,4,10515085,10515085,0,2
14cNqeDxBk6mfM7bFn6xyo6Tp7B2V3DvAJ,TRUE,4,1309555,1309555,0,2
1LuiqwsE5HF9T2mkS8EN3TLkJRFdbzrR8k,TRUE,4,146761707,146761707,0,14
1GxNViGfi3V6958fsyGGPKbVWELsrLqu8E,TRUE,4,2110055,2110055,0,4
1NVLbQ7mpJvcdepyJtxDKuNA7GN7epRFJo,TRUE,4,67635067,67635067,0,7
1JK55P9Lps6goSxDH13TBWbqCMi6ez4g5D,TRUE,4,23596100,23596100,0,3
1Bu2NDQScVQwixvhf4z4xbZQVNFWuXokSJ,TRUE,4,89422441,89422441,0,8
1564ZdqevNjVgR9ey4cgEa3kDkisRFED5P,TRUE,4,41119730,41119730,0,4
1GR7rJfntdcbfhKT1s33RDby4z5ex1ou4Z,TRUE,4,202969814,202969814,0,17
18YDAf11psBJSavARQCwysE7E89zSEMfGG,TRUE,4,105426847,105426847,0,7
19kXyFbvetft819v4QV5g9vzrjwNqRtvgA,TRUE,4,30306900,30308900,2000,5
14DRztZdJ8RHM954AYsUPrsTvYJk6g9h9j,TRUE,4,122939884,122939884,0,36
1HRnCZDJ1coQG31Rni6xNyAoQwzfhndLt1,TRUE,4,38556199,38556199,0,4
1FgfdebSqbXRciP2DXKJyqPSffX3Sx57RF,TRUE,4,479947297,479947297,0,33
15m7EveUtXmY3V7keJx1FA1cySxHrBk7dY,TRUE,4,18241314,18241314,0,2
1FqSVjPQWZGnPsRp922SYmCQpctXwwE3Gf,TRUE,3,1500000,1500000,0,2
1AyRZviUxoBaCU1pJM5m7C1V2LdhPYiRcB,TRUE,4,652271438,652271438,0,45
1ER7Hb5aTHJSYLDCpr4UPFPXARA8ETKUuN,TRUE,4,37289537,37289537,0,5
17vtnhr6bdSRF2YdTVKTYJLfbegU3bB2iF,TRUE,4,57500000,57500000,0,8
182PJESsEWbuJ8PEgfM58p64jbok3i1gNU,TRUE,4,472392696,472392696,0,32
1C5ZC3ggaSHpPwzN6NCiaftqvcY1BPb4DY,TRUE,4,2009459,2009459,0,4
13S6xmcCJJwfiZsAFmLVjheY21hx2rZFUo,TRUE,4,3085913,3085913,0,2
